title,provider,duration,prerequisites,skill_tags,level,link
"Python for Everybody","Coursera","3 months","None","python, programming fundamentals","Beginner","https://www.coursera.org/learn/python"
"Google IT Support Professional","Coursera","6 months","None","it support, hardware, networking basics","Beginner","https://www.coursera.org/professional-certificates/google-it-support"
"Programming in Java","Udemy","25 hours","Basic computer usage","java, oops, programming basics","Beginner","https://www.udemy.com/java-course"
"Data Structures & Algorithms in Java","Udemy","35 hours","Basic Java","java, dsa, algorithms","Intermediate","https://www.udemy.com/dsa-java"
"Web Development Bootcamp","Udemy","60 hours","None","html, css, js, react, full stack","Beginner","https://www.udemy.com/web-bootcamp"
"ReactJS Complete Guide","Udemy","40 hours","Basic JavaScript","javascript, react, frontend","Intermediate","https://www.udemy.com/react-course"
"Machine Learning by Andrew Ng","Coursera","11 weeks","Basic Python, math","machine learning, regression, math","Intermediate","https://www.coursera.org/learn/machine-learning"
"Deep Learning Specialization","Coursera","4 months","ML basics, Python","deep learning, neural networks","Advanced","https://www.coursera.org/specializations/deep-learning"
"Google Data Analytics Professional","Coursera","6 months","None","data analysis, excel, sql, tableau","Beginner","https://www.coursera.org/professional-certificates/google-data-analytics"
"SQL for Data Science","Coursera","1 month","None","sql, databases, querying","Beginner","https://www.coursera.org/learn/sql-for-data-science"
"AWS Cloud Practitioner","Udemy","12 hours","None","aws, cloud basics","Beginner","https://www.udemy.com/aws-cloud-practitioner"
"Azure Fundamentals AZ-900","Microsoft Learn","1 month","None","azure, cloud basics","Beginner","https://learn.microsoft.com/azure"
"Cybersecurity Essentials","Cisco","2 weeks","None","cybersecurity, networking, threats","Beginner","https://www.netacad.com/courses/security"
"Certified Ethical Hacker (CEH)","EC-Council","6 months","Networking basics","ethical hacking, pentesting","Advanced","https://www.eccouncil.org"
"Google UX Design Professional","Coursera","6 months","None","ux, design thinking, figma","Beginner","https://www.coursera.org/professional-certificates/google-ux-design"
"Figma UI/UX Masterclass","Udemy","20 hours","None","figma, wireframes, prototyping","Beginner","https://www.udemy.com/figma-masterclass"
"Business Analytics Specialization","Coursera","4 months","Basic math","business analytics, statistics","Intermediate","https://www.coursera.org/specializations/business-analytics"
"Financial Markets by Yale","Coursera","1 month","None","finance, markets, investing","Beginner","https://www.coursera.org/learn/financial-markets"
"Excel to Dashboarding","Udemy","10 hours","Basic Excel","excel, dashboards, visualization","Beginner","https://www.udemy.com/excel-dashboard"
"DevOps Foundations","LinkedIn Learning","5 hours","None","devops, ci/cd, automation","Beginner","https://www.linkedin.com/learning"
"Docker & Kubernetes","Udemy","20 hours","Basic DevOps","docker, kubernetes, containerization","Intermediate","https://www.udemy.com/docker-kubernetes"
"Android App Development with Kotlin","Udemy","30 hours","Basic programming","kotlin, android, mobile apps","Intermediate","https://www.udemy.com/kotlin-android"
"iOS Development with Swift","Udemy","40 hours","Basic programming","swift, ios, mobile apps","Intermediate","https://www.udemy.com/swift-ios"
"Soft Skills: Communication Mastery","Udemy","6 hours","None","communication, presentation, soft skills","Beginner","https://www.udemy.com/communication-mastery"
"Leadership & Team Management","Coursera","1 month","None","leadership, team management","Beginner","https://www.coursera.org"
